MSA,Year,nSNAP
"Orlando-Kissimmee-Sanford, FL MSA",2010,4222065
"Orlando-Kissimmee-Sanford, FL MSA",2011,4771110
"Orlando-Kissimmee-Sanford, FL MSA",2012,5541900
"Orlando-Kissimmee-Sanford, FL MSA",2013,5368815
"Orlando-Kissimmee-Sanford, FL MSA",2014,5663100
"Orlando-Kissimmee-Sanford, FL MSA",2015,5610270
"Orlando-Kissimmee-Sanford, FL MSA",2016,5088090
"Orlando-Kissimmee-Sanford, FL MSA",2017,4796655
"Orlando-Kissimmee-Sanford, FL MSA",2018,4629795
"Orlando-Kissimmee-Sanford, FL MSA",2019,4582770
"Orlando-Kissimmee-Sanford, FL MSA",2020,5810850
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2007,9840429
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2008,10880275
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2009,12897379
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2010,14467484
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2011,15779837
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2012,16235287
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2013,16319476
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2014,16526484
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2015,16788415
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2016,16351934
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2017,15889144
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2018,15285107
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2019,14992814
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2020,15753316
"Phoenix-Mesa-Chandler, AZ MSA",2007,4924470
"Phoenix-Mesa-Chandler, AZ MSA",2008,6359385
"Phoenix-Mesa-Chandler, AZ MSA",2009,8683845
"Phoenix-Mesa-Chandler, AZ MSA",2010,9364185
"Phoenix-Mesa-Chandler, AZ MSA",2011,9964725
"Phoenix-Mesa-Chandler, AZ MSA",2012,10021380
"Phoenix-Mesa-Chandler, AZ MSA",2013,9530850
"Phoenix-Mesa-Chandler, AZ MSA",2014,9018705
"Phoenix-Mesa-Chandler, AZ MSA",2015,8630280
"Phoenix-Mesa-Chandler, AZ MSA",2016,8201355
"Phoenix-Mesa-Chandler, AZ MSA",2017,7550640
"Phoenix-Mesa-Chandler, AZ MSA",2018,6993330
"Phoenix-Mesa-Chandler, AZ MSA",2019,7027905
"Phoenix-Mesa-Chandler, AZ MSA",2020,7903575
"Pittsburgh, PA MSA",2007,1741350
"Pittsburgh, PA MSA",2008,1862910
"Pittsburgh, PA MSA",2009,2132235
"Pittsburgh, PA MSA",2010,2304015
"Pittsburgh, PA MSA",2011,2417160
"Pittsburgh, PA MSA",2012,2390820
"Pittsburgh, PA MSA",2013,2401530
"Pittsburgh, PA MSA",2014,2401500
"Pittsburgh, PA MSA",2015,2408280
"Pittsburgh, PA MSA",2016,2324250
"Pittsburgh, PA MSA",2017,2286525
"Pittsburgh, PA MSA",2018,2202390
"Pittsburgh, PA MSA",2019,2226885
"Pittsburgh, PA MSA",2020,2389185
"Portland-Vancouver-Hillsboro, OR-WA MSA",2007,2507835
"Portland-Vancouver-Hillsboro, OR-WA MSA",2008,2979120
"Portland-Vancouver-Hillsboro, OR-WA MSA",2009,3887550
"Portland-Vancouver-Hillsboro, OR-WA MSA",2010,4390890
"Portland-Vancouver-Hillsboro, OR-WA MSA",2011,4662705
"Portland-Vancouver-Hillsboro, OR-WA MSA",2012,4724175
"Portland-Vancouver-Hillsboro, OR-WA MSA",2013,4691940
"Portland-Vancouver-Hillsboro, OR-WA MSA",2014,4559250
"Portland-Vancouver-Hillsboro, OR-WA MSA",2015,4244685
"Portland-Vancouver-Hillsboro, OR-WA MSA",2016,3753510
"Portland-Vancouver-Hillsboro, OR-WA MSA",2017,3414390
"Portland-Vancouver-Hillsboro, OR-WA MSA",2018,3242880
